freq (Hz),v (m/s),Thrust force (N)
1,0,99.02484509
1,1,-295.5378171
1,2,-377.2070712
1,3,-311.0885069
1,4,-248.7231135
1,5,-204.9628367
1,6,-173.8209211
1,7,-150.7461091
1,8,-133.0218004
1,9,-119.003244
1,10,-107.6501291
1,11,-98.27558462
1,12,-90.40882807
1,13,-83.71675842
1,14,-77.95722287
1,15,-72.95004965
1,16,-68.558463
1,17,-64.67679343
1,18,-61.22213309
1,19,-58.12853587
1,20,-55.34290187
1,21,-52.82200274
1,22,-50.53029562
1,23,-48.4382924
1,24,-46.52132664
1,25,-44.75860959
1,26,-43.13249921
1,27,-41.62792834
1,28,-40.23195295
1,29,-38.93339217
1,30,-37.72253899
1,31,-36.59092605
1,32,-35.5311346
1,33,-34.53663771
1,34,-33.60167069
1,35,-32.72112348
1,36,-31.89045068
1,37,-31.10559599
1,38,-30.36292849
1,39,-29.6591885
1,40,-28.99144162
1,41,-28.35703926
1,42,-27.7535849
1,43,-27.17890492
1,44,-26.63102338
1,45,-26.10814019
1,46,-25.60861206
1,47,-25.13093586
1,48,-24.67373405
1,49,-24.23574191
1,50,-23.81579629
1,51,-23.41282561
1,52,-23.02584111
1,53,-22.65392899
1,54,-22.2962435
1,55,-21.95200073
1,56,-21.6204731
1,57,-21.30098436
1,58,-20.99290521
1,59,-20.69564928
1,60,-20.40866955
1,61,-20.1314551
1,62,-19.8635282
1,63,-19.60444168
1,64,-19.35377649
1,65,-19.11113955
6,0,325.1698341
6,1,104.4007746
6,2,-266.0013125
6,3,-343.4729965
6,4,-288.6463211
6,5,-235.7725808
6,6,-197.3290577
6,7,-171.4299333
6,8,-152.4157338
6,9,-137.1534735
6,10,-124.3466217
6,11,-113.3991722
6,12,-103.9600677
6,13,-95.77722981
6,14,-88.65104314
6,15,-82.41746214
6,16,-76.94006725
6,17,-72.10506378
6,18,-67.81746863
6,19,-63.99796304
6,20,-60.58024166
6,21,-57.50878212
6,22,-54.7369816
6,23,-52.22561084
6,24,-49.94153882
6,25,-47.85668458
6,26,-45.94715768
6,27,-44.19255378
6,28,-42.57537723
6,29,-41.08056719
6,30,-39.69510801
6,31,-38.40770805
6,32,-37.20853435
6,33,-36.0889926
6,34,-35.04154421
6,35,-34.05955371
6,36,-33.13716099
6,37,-32.26917388
6,38,-31.45097775
6,39,-30.67845891
6,40,-29.94793964
6,41,-29.25612291
6,42,-28.600045
6,43,-27.97703505
6,44,-27.38468015
6,45,-26.8207953
6,46,-26.28339735
6,47,-25.77068245
6,48,-25.28100637
6,49,-24.81286738
6,50,-24.36489119
6,51,-23.93581783
6,52,-23.52449005
6,53,-23.12984308
6,54,-22.75089564
6,55,-22.38674192
6,56,-22.03654448
6,57,-21.69952794
6,58,-21.37497335
6,59,-21.06221313
6,60,-20.7606266
6,61,-20.4696359
6,62,-20.18870238
6,63,-19.91732333
6,64,-19.65502903
6,65,-19.40138008
11,0,303.3383742
11,1,298.0230542
11,2,80.60352549
11,3,-261.6816593
11,4,-325.1644425
11,5,-292.045863
11,6,-241.4737648
11,7,-199.55361
11,8,-170.9699566
11,9,-148.8899469
11,10,-131.0186564
11,11,-116.8737435
11,12,-105.8852028
11,13,-97.30114458
11,14,-90.41861494
11,15,-84.70014209
11,16,-79.7800738
11,17,-75.42638969
11,18,-71.49734348
11,19,-67.90719006
11,20,-64.60294799
11,21,-61.54998778
11,22,-58.72363592
11,23,-56.10453165
11,24,-53.67618724
11,25,-51.4237795
11,26,-49.33359597
11,27,-47.39280914
11,28,-45.58940117
11,29,-43.91214736
11,30,-42.35061421
11,31,-40.8951529
11,32,-39.53688193
11,33,-38.26765881
11,34,-37.08004282
11,35,-35.96725174
11,36,-34.92311515
11,37,-33.94202663
11,38,-33.01889632
11,39,-32.14910525
11,40,-31.32846197
11,41,-30.55316215
11,42,-29.81975118
11,43,-29.12508997
11,44,-28.46632378
11,45,-27.84085403
11,46,-27.24631279
11,47,-26.68053994
11,48,-26.14156251
11,49,-25.62757632
11,50,-25.13692936
11,51,-24.66810709
11,52,-24.21971912
11,53,-23.79048738
11,54,-23.37923551
11,55,-22.98487936
11,56,-22.60641843
11,57,-22.24292828
11,58,-21.89355362
11,59,-21.55750216
11,60,-21.23403907
11,61,-20.922482
11,62,-20.62219655
11,63,-20.33259223
11,64,-20.05311881
11,65,-19.78326295
16,0,251.2328848
16,1,288.5317731
16,2,274.263108
16,3,59.9575147
16,4,-252.2338778
16,5,-323.9121419
16,6,-279.9700916
16,7,-240.3073602
16,8,-204.0409552
16,9,-172.0123971
16,10,-148.520524
