freq (Hz),v (m/s),Thrust force (N)
1,0,128.5984379
1,1,-398.496289
1,2,-486.806082
1,3,-415.6606603
1,4,-334.395388
1,5,-275.3007406
1,6,-233.0928938
1,7,-201.8866386
1,8,-177.9795357
1,9,-159.1117076
1,10,-143.8565379
1,11,-131.2757344
1,12,-120.7285759
1,13,-111.7631281
1,14,-104.0516699
1,15,-97.35084795
1,16,-91.47621755
1,17,-86.28546588
1,18,-81.6670538
1,19,-77.53234035
1,20,-73.81000551
1,21,-70.44202555
1,22,-67.38071953
1,23,-64.58654854
1,24,-62.02645327
1,25,-59.67258242
1,26,-57.50130883
1,27,-55.49246023
1,28,-53.62871193
1,29,-51.89510314
1,30,-50.27864839
1,31,-48.76802315
1,32,-47.35330744
1,33,-46.02577548
1,34,-44.77772195
1,35,-43.6023177
1,36,-42.49348916
1,37,-41.44581712
1,38,-40.45445132
1,39,-39.51503804
1,40,-38.62365843
1,41,-37.77677579
1,42,-36.97119033
1,43,-36.20400018
1,44,-35.47256763
1,45,-34.77448993
1,46,-34.10757379
1,47,-33.46981317
1,48,-32.85936978
1,49,-32.27455599
1,50,-31.71381978
1,51,-31.17573144
1,52,-30.65897179
1,53,-30.16232178
1,54,-29.68465314
1,55,-29.22492018
1,56,-28.78215237
1,57,-28.35544769
1,58,-27.94396679
1,59,-27.54692758
1,60,-27.16360048
1,61,-26.79330408
1,62,-26.43540127
1,63,-26.08929567
1,64,-25.75442843
1,65,-25.43027537
6,0,441.4988549
6,1,131.9465182
6,2,-375.1436069
6,3,-454.017164
6,4,-396.3654413
6,5,-319.9331132
6,6,-266.8701206
6,7,-226.8598212
6,8,-197.3976786
6,9,-175.846513
6,10,-159.3641708
6,11,-146.0466333
6,12,-134.8163075
6,13,-125.0844497
6,14,-116.5166359
6,15,-108.9055388
6,16,-102.1079757
6,17,-96.01500532
6,18,-90.5379244
6,19,-85.60162595
6,20,-81.14127393
6,21,-77.10044122
6,22,-73.42988954
6,23,-70.08664048
6,24,-67.03319501
6,25,-64.23684708
6,26,-61.66907151
6,27,-59.30497893
6,28,-57.12283349
6,29,-55.10362943
6,30,-53.23072188
6,31,-51.48950667
6,32,-49.86714391
6,33,-48.35232004
6,34,-46.9350434
6,35,-45.60646885
6,36,-44.35874724
6,37,-43.18489635
6,38,-42.07869002
6,39,-41.03456287
6,40,-40.04752832
6,41,-39.11310791
6,42,-38.22727027
6,43,-37.38637829
6,44,-36.58714342
6,45,-35.82658584
6,46,-35.1019999
6,47,-34.41092389
6,48,-33.75111369
6,49,-33.12051961
6,50,-32.51726612
6,51,-31.93963396
6,52,-31.3860444
6,53,-30.85504531
6,54,-30.34529887
6,55,-29.85557059
6,56,-29.38471964
6,57,-28.93169016
6,58,-28.49550355
6,59,-28.07525157
6,60,-27.67009012
6,61,-27.27923375
6,62,-26.90195062
6,63,-26.53755802
6,64,-26.18541836
6,65,-25.84493544
11,0,413.2117676
11,1,413.7453291
11,2,105.7846082
11,3,-365.5108242
11,4,-451.6131519
11,5,-382.3264054
11,6,-319.4802945
11,7,-273.1018627
11,8,-230.634992
11,9,-198.7817973
11,10,-176.215299
11,11,-158.4137514
11,12,-143.2172915
11,13,-130.1780701
11,14,-119.2334894
11,15,-110.2046572
11,16,-102.7794586
11,17,-96.60995556
11,18,-91.38465639
11,19,-86.857295
11,20,-82.84755586
11,21,-79.22968968
11,22,-75.9185244
11,23,-72.85710143
11,24,-70.00718288
11,25,-67.34252865
11,26,-64.84438648
11,27,-62.49858839
11,28,-60.29374515
11,29,-58.22015995
11,30,-56.26919693
11,31,-54.43292818
11,32,-52.70394578
11,33,-51.0752678
11,34,-49.5402948
11,35,-48.0927917
11,36,-46.72688014
11,37,-45.43703395
11,38,-44.21807369
11,39,-43.06515887
11,40,-41.97377735
11,41,-40.93973241
11,42,-39.9591279
11,43,-39.02835199
11,44,-38.14406031
11,45,-37.30315874
11,46,-36.50278632
11,47,-35.74029856
11,48,-35.01325144
11,49,-34.31938608
11,50,-33.65661434
11,51,-33.02300527
11,52,-32.41677252
11,53,-31.83626267
11,54,-31.27994439
11,55,-30.74639846
11,56,-30.23430867
11,57,-29.74245339
11,58,-29.26969783
11,59,-28.81498707
11,60,-28.37733954
11,61,-27.95584117
11,62,-27.54963998
11,63,-27.15794119
11,64,-26.78000269
11,65,-26.41513098
16,0,341.4412347
16,1,398.3200304
16,2,389.5384435
16,3,83.90298845
16,4,-360.274725
16,5,-442.0411064
16,6,-385.5217977
16,7,-315.6509919
16,8,-264.8434942
16,9,-229.5030271
16,10,-202.5572893
16,11,-178.6028492
16,12,-158.1706527
16,13,-142.3745837
16,14,-130.417194
16,15,-120.7718306
16,16,-112.3390878
16,17,-104.6485486
16,18,-97.61403252
16,19,-91.27843836
16,20,-85.67587182
16,21,-80.78968256
16,22,-76.55816083
16,23,-72.89443729
16,24,-69.70489637
16,25,-66.90138809
16,26,-64.40746228
16,27,-62.16035969
16,28,-60.1105075
16,29,-58.21981226
16,30,-56.4595633
16,31,-54.80839227
16,32,-53.25049419
16,33,-51.77417517
16,34,-50.37071798
16,35,-49.03352453
16,36,-47.75748391
16,37,-46.53851673
16,38,-45.37325274
16,39,-44.25880708
16,40,-43.19262759
16,41,-42.17239298
16,42,-41.19594613
16,43,-40.26125179
16,44,-39.3663705
16,45,-38.50944324
16,46,-37.68868291
16,47,-36.90237
16,48,-36.1488506
16,49,-35.42653584
16,50,-34.73390165
16,51,-34.06948875
16,52,-33.43190241
16,53,-32.8198119
16,54,-32.23194968
16,55,-31.66711012
16,56,-31.12414808
16,57,-30.60197706
16,58,-30.0995673
16,59,-29.6159436
16,60,-29.15018312
16,61,-28.70141304
16,62,-28.26880825
16,63,-27.85158898
16,64,-27.44901854
16,65,-27.06040098
21,0,282.2955669
21,1,333.8851489
21,2,387.7546464
21,3,368.3522977
21,4,65.98767128
21,5,-351.7348494
21,6,-435.4638396
21,7,-382.7192682
21,8,-318.2268567
21,9,-264.6452803
21,10,-227.5433219
21,11,-198.715262
21,12,-176.8122276
21,13,-159.9121983
21,14,-145.0751841
21,15,-131.5762767
21,16,-120.0347488
21,17,-110.761658
21,18,-103.4078798
21,19,-97.34574232
21,20,-92.03258332
21,21,-87.14299021
21,22,-82.54290083
21,23,-78.21260668
21,24,-74.17846902
21,25,-70.4708951
21,26,-67.1055741
21,27,-64.07941933
21,28,-61.37368635
21,29,-58.95941354
21,30,-56.8026662
21,31,-54.86858919
21,32,-53.12409806
21,33,-51.53940374
21,34,-50.08867399
21,35,-48.75012224
21,36,-47.50575559
21,37,-46.34094872
21,38,-45.24395374
21,39,-44.2054129
21,40,-43.21791113
21,41,-42.27558503
21,42,-41.37379303
21,43,-40.5088443
21,44,-39.67778028
21,45,-38.87820167
21,46,-38.10813323
21,47,-37.36591938
21,48,-36.65014457
21,49,-35.95957315
21,50,-35.29310436
21,51,-34.64973908
21,52,-34.02855551
21,53,-33.42869149
21,54,-32.84933198
21,55,-32.28970013
21,56,-31.74905116
21,57,-31.22666818
21,58,-30.72185933
21,59,-30.23395597
21,60,-29.76231151
21,61,-29.30630065
21,62,-28.86531888
21,63,-28.43878216
21,64,-28.02612671
21,65,-27.62680873
26,0,237.9298393
26,1,277.9083903
26,2,328.8551988
26,3,378.4555155
26,4,347.8156037
26,5,50.65501773
26,6,-339.9702522
26,7,-431.5397455
26,8,-377.1142147
26,9,-319.5932762
26,10,-266.3671696
26,11,-226.2926397
26,12,-199.1519902
26,13,-177.0267943
26,14,-157.9905765
26,15,-143.2637437
26,16,-131.8552772
26,17,-121.8976621
26,18,-112.5871808
26,19,-104.0958225
26,20,-96.7750706
26,21,-90.71714722
26,22,-85.74280947
26,23,-81.55422541
26,24,-77.86985778
26,25,-74.4884485
26,26,-71.29643092
26,27,-68.24762636
26,28,-65.33664745
26,29,-62.57667227
26,30,-59.98470221
26,31,-57.57362662
26,32,-55.34914961
26,33,-53.30963704
26,34,-51.4474087
26,35,-49.75052178
26,36,-48.20451189
26,37,-46.79384393
26,38,-45.50299828
26,39,-44.31720925
26,40,-43.22291336
26,41,-42.2079754
26,42,-41.26175622
26,43,-40.37507531
26,44,-39.54010935
26,45,-38.75025666
26,46,-37.99998833
26,47,-37.28469956
26,48,-36.60056951
26,49,-35.94443408
26,50,-35.31367366
26,51,-34.70611613
26,52,-34.11995442
26,53,-33.55367729
26,54,-33.00601208
26,55,-32.47587761
26,56,-31.9623458
26,57,-31.46461072
26,58,-30.98196376
26,59,-30.51377373
26,60,-30.05947121
26,61,-29.61853615
26,62,-29.19048819
26,63,-28.77487909
26,64,-28.37128695
26,65,-27.97931165
31,0,204.5154726
31,1,235.0357902
31,2,275.0877583
31,3,324.6320922
31,4,369.291251
31,5,327.137432
31,6,37.15342632
31,7,-326.3063116
31,8,-427.5392141
31,9,-372.7281188
31,10,-317.8310421
31,11,-269.0863635
31,12,-227.4659757
31,13,-196.9767911
31,14,-176.4895211
31,15,-159.8823643
31,16,-144.2082635
31,17,-130.7119626
31,18,-120.2927315
31,19,-112.142284
31,20,-105.0325553
31,21,-98.31854357
31,22,-91.97044518
31,23,-86.20329726
31,24,-81.18383205
31,25,-76.93089054
31,26,-73.34241496
31,27,-70.26188183
31,28,-67.53423538
31,29,-65.03650842
31,30,-62.68661024
31,31,-60.4390283
31,32,-58.27514614
31,33,-56.19305477
31,34,-54.19919905
31,35,-52.30253569
31,36,-50.51100605
31,37,-48.82978925
31,38,-47.26075975
31,39,-45.80266478
31,40,-44.45166559
31,41,-43.20200736
31,42,-42.0466774
31,43,-40.97797918
31,44,-39.98799335
31,45,-39.06892311
31,46,-38.21333543
31,47,-37.4143151
31,48,-36.66555027
31,49,-35.96136666
31,50,-35.29672519
31,51,-34.66719493
31,52,-34.06891082
31,53,-33.49852299
31,54,-32.95314265
31,55,-32.4302881
31,56,-31.927833
31,57,-31.44395836
31,58,-30.97710885
31,59,-30.5259539
31,60,-30.08935338
31,61,-29.66632774
31,62,-29.25603226
31,63,-28.85773503
31,64,-28.47079827
31,65,-28.09466253
36,0,178.7883047
36,1,202.408699
36,2,233.220229
36,3,272.8751251
36,4,320.6037867
36,5,359.9137429
36,6,306.0560349
36,7,24.97846235
36,8,-311.5966165
36,9,-422.6135016
36,10,-369.9233863
36,11,-314.3427368
36,12,-270.2992505
36,13,-230.2698482
36,14,-197.8398474
36,15,-174.0665203
36,16,-158.0413635
36,17,-145.4223966
36,18,-133.0466287
36,19,-121.2337492
36,20,-111.3341789
36,21,-103.6725133
36,22,-97.59031246
36,23,-92.26828831
36,24,-87.22950089
36,25,-82.37606153
36,26,-77.81290121
36,27,-73.67498379
36,28,-70.03643636
36,29,-66.8928609
36,30,-64.18226469
36,31,-61.81584291
36,32,-59.70332327
36,33,-57.7681887
36,34,-55.95376618
36,35,-54.2231334
36,36,-52.55576638
36,37,-50.94307292
36,38,-49.38409663
36,39,-47.88200223
36,40,-46.44151505
36,41,-45.06724819
36,42,-43.76274719
36,43,-42.53005916
36,44,-41.36965249
36,45,-40.28054781
36,46,-39.26055831
36,47,-38.30656995
36,48,-37.41481826
36,49,-36.58113705
36,50,-35.80116769
36,51,-35.07052588
36,52,-34.38492789
36,53,-33.74028081
36,54,-33.13274264
36,55,-32.55875793
36,56,-32.01507454
36,57,-31.49874613
36,58,-31.00712457
36,59,-30.53784532
36,60,-30.08880847
36,61,-29.65815732
36,62,-29.24425592
36,63,-28.8456667
36,64,-28.46112884
36,65,-28.08953786
41,0,158.5036097
41,1,177.1406795
41,2,201.1116117
41,3,231.8979921
41,4,270.8795214
41,5,316.5521179
41,6,350.2316523
41,7,284.4940621
41,8,13.75421794
41,9,-296.4030432
41,10,-416.3506217
41,11,-368.97084
41,12,-309.8573693
41,13,-269.7114698
41,14,-232.7049036
41,15,-200.3337892
41,16,-174.7591407
41,17,-155.7760504
41,18,-142.8372809
41,19,-132.9701518
41,20,-123.3265268
41,21,-113.4586779
41,22,-104.3924904
41,23,-96.94745923
41,24,-91.1307334
41,25,-86.43382431
41,26,-82.30195855
41,27,-78.39034301
41,28,-74.58993211
41,29,-70.94034242
41,30,-67.53087486
41,31,-64.43523687
41,32,-61.68505544
41,33,-59.27006794
41,34,-57.15082602
41,35,-55.27383428
41,36,-53.58391289
