freq (Hz),v (m/s),Thrust force (N)
16,56,-52.37375974
16,57,-51.4906243
16,58,-50.6425588
16,59,-49.82762747
16,60,-49.04402427
16,61,-48.29006331
16,62,-47.56417016
16,63,-46.86487362
16,64,-46.19079817
16,65,-45.54065693
21,0,468.4233901
21,1,548.461115
21,2,625.4607087
21,3,570.3821222
21,4,96.04224706
21,5,-539.0309626
21,6,-725.0950688
21,7,-626.1428428
21,8,-527.2080058
21,9,-453.4037899
21,10,-392.6499244
21,11,-340.2511437
21,12,-297.1458783
21,13,-264.5961345
21,14,-240.7015774
21,15,-222.0316571
21,16,-205.9326465
21,17,-191.1672637
21,18,-177.4783445
21,19,-165.0004725
21,20,-153.8942792
21,21,-144.2086881
21,22,-135.873189
21,23,-128.7382465
21,24,-122.6201099
21,25,-117.3338699
21,26,-112.7126203
21,27,-108.6157653
21,28,-104.9303923
21,29,-101.5689077
21,30,-98.46508833
21,31,-95.56981765
21,32,-92.84715955
21,33,-90.27103756
21,34,-87.82257495
21,35,-85.4880441
21,36,-83.25733126
21,37,-81.12281452
21,38,-79.07856086
21,39,-77.11976293
21,40,-75.24235183
21,41,-73.44273672
21,42,-71.71763403
21,43,-70.06395908
21,44,-68.47876012
21,45,-66.95918063
21,46,-65.50244002
21,47,-64.10582582
21,48,-62.76669253
21,49,-61.48246425
21,50,-60.25063889
21,51,-59.06879277
21,52,-57.93458483
21,53,-56.84576009
21,54,-55.80015212
21,55,-54.79568456
21,56,-53.83037162
21,57,-52.90231778
21,58,-52.00971672
21,59,-51.15084965
21,60,-50.32408309
21,61,-49.52786631
21,62,-48.76072849
21,63,-48.02127556
21,64,-47.30818705
21,65,-46.62021278
26,0,395.4741977
26,1,458.8424552
26,2,537.1934331
26,3,604.4404197
26,4,525.3040772
26,5,63.13198504
26,6,-509.824612
26,7,-714.900201
26,8,-626.8914187
26,9,-522.4245069
26,10,-448.7804963
26,11,-389.4323942
26,12,-341.4053159
26,13,-302.0415408
26,14,-268.4233726
26,15,-240.5069946
26,16,-218.6828999
26,17,-202.0437941
26,18,-188.8713005
26,19,-177.5983043
26,20,-167.2611291
26,21,-157.467433
26,22,-148.1762319
26,23,-139.4892269
26,24,-131.52001
26,25,-124.3358991
26,26,-117.9459696
26,27,-112.3112639
26,28,-107.3617769
26,29,-103.0124225
26,30,-99.17507652
26,31,-95.76635699
26,32,-92.71187387
26,33,-89.947948
26,34,-87.42170869
26,35,-85.0902685
26,36,-82.91945903
26,37,-80.88243534
26,38,-78.9583277
26,39,-77.13103208
26,40,-75.38817576
26,41,-73.72026209
26,42,-72.11998123
26,43,-70.58166571
26,44,-69.10086762
26,45,-67.67403504
26,46,-66.29826776
26,47,-64.97113509
26,48,-63.69054189
26,49,-62.45463121
26,50,-61.26171469
26,51,-60.1102236
26,52,-58.99867507
26,53,-57.92564942
26,54,-56.88977543
26,55,-55.88972119
26,56,-54.92418884
26,57,-53.99191191
